Northwest Vista College#83439,Sea World Main Entrance#15333,Potranco & TX 151 W. Access Rd.#47199,Kel-Lac Transit Center#46473,Dolorosa & S. Main#89913,bus_route,day_of_week
622,1027,633,648,715,Route 64,W
725,1127,738,753,819,Route 64,W
824,1229,837,854,914,Route 64,W
923,1329,936,952,1014,Route 64,W
1023,1429,1036,1051,1114,Route 64,W
1123,1515,1136,1151,1214,Route 64,W
1225,1615,1238,1254,1314,Route 64,W
1325,1716,1338,1354,1414,Route 64,W
1425,1816,1438,1454,1515,Route 64,W
1510,1928,1525,1544,1615,Route 64,W
1610,2028,1625,1644,1714,Route 64,W
1711,2125,1726,1744,1814,Route 64,W
1811,2225,1826,1844,1914,Route 64,W
1924,,1937,1953,2013,Route 64,W
2024,,2037,2053,2113,Route 64,W
2122,,2133,2147,2213,Route 64,W
2222,,2233,2247,2313,Route 64,W
,,,,2417,Route 64,W
621,1028,631,644,714,Route 64,S
721,1128,731,744,814,Route 64,S
822,1228,833,848,914,Route 64,S
922,1328,933,948,1014,Route 64,S
1024,1428,1037,1053,1115,Route 64,S
1124,1528,1137,1153,1216,Route 64,S
1224,1628,1238,1255,1316,Route 64,S
1324,1728,1338,1355,1416,Route 64,S
1424,1828,1438,1455,1516,Route 64,S
1524,1928,1538,1555,1616,Route 64,S
1624,2028,1638,1655,1716,Route 64,S
1724,2126,1738,1755,1816,Route 64,S
1824,2226,1838,1855,1914,Route 64,S
1924,,1938,1955,2014,Route 64,S
2024,,2038,2055,2114,Route 64,S
2122,,2134,2150,2213,Route 64,S
2222,,2234,2250,2313,Route 64,S
,,,,2317,Route 64,S
,,,,2417,Route 64,S
722,926,732,655,714,Route 64,F
822,1026,832,747,814,Route 64,F
922,1126,936,847,914,Route 64,F
1022,1227,1036,952,1014,Route 64,F
1122,1327,1136,1052,1114,Route 64,F
1222,1427,1237,1152,1214,Route 64,F
1322,1527,1337,1253,1314,Route 64,F
1422,1627,1437,1353,1414,Route 64,F
1522,1727,1537,1453,1514,Route 64,F
1622,1827,1637,1553,1614,Route 64,F
1722,1927,1737,1653,1714,Route 64,F
1822,2027,1837,1753,1814,Route 64,F
1923,2126,1937,1853,1913,Route 64,F
2023,2226,2037,1952,2013,Route 64,F
2122,,2135,2052,2113,Route 64,F
2222,,2235,2149,2213,Route 64,F
,,,2249,2313,Route 64,F
,,,,2317,Route 64,F
,,,,2417,Route 64,F
621,,610,534,515,Route 64 (reverse),W
724,,711,634,615,Route 64 (reverse),W
824,,811,734,715,Route 64 (reverse),W
923,,911,838,819,Route 64 (reverse),W
1023,,1011,934,914,Route 64 (reverse),W
1123,,1111,1034,1014,Route 64 (reverse),W
1225,,1211,1134,1114,Route 64 (reverse),W
1325,,1311,1234,1214,Route 64 (reverse),W
1425,,1411,1334,1314,Route 64 (reverse),W
1527,,1513,1434,1414,Route 64 (reverse),W
1627,,1613,1538,1515,Route 64 (reverse),W
1727,,1713,1638,1615,Route 64 (reverse),W
1827,,1813,1737,1714,Route 64 (reverse),W
1924,,1911,1837,1814,Route 64 (reverse),W
2024,,2011,1935,1914,Route 64 (reverse),W
2122,,2110,2034,2013,Route 64 (reverse),W
2222,,2210,2133,2113,Route 64 (reverse),W
621,,610,532,514,Route 64 (reverse),S
721,,710,632,614,Route 64 (reverse),S
822,,810,732,714,Route 64 (reverse),S
922,,910,833,814,Route 64 (reverse),S
1024,,1011,933,914,Route 64 (reverse),S
1124,,1111,1034,1014,Route 64 (reverse),S
1224,,1211,1135,1115,Route 64 (reverse),S
1324,,1311,1237,1216,Route 64 (reverse),S
1424,,1411,1337,1316,Route 64 (reverse),S
1524,,1511,1437,1416,Route 64 (reverse),S
1624,,1611,1537,1516,Route 64 (reverse),S
1724,,1711,1637,1616,Route 64 (reverse),S
1824,,1811,1737,1716,Route 64 (reverse),S
1924,,1911,1837,1816,Route 64 (reverse),S
2024,,2011,1935,1914,Route 64 (reverse),S
2122,,2110,2035,2014,Route 64 (reverse),S
2222,,2210,2134,2114,Route 64 (reverse),S
720,,709,634,614,Route 64 (reverse),F
820,,809,734,714,Route 64 (reverse),F
920,,909,834,814,Route 64 (reverse),F
1022,,1010,934,914,Route 64 (reverse),F
1122,,1110,1034,1014,Route 64 (reverse),F
1222,,1210,1134,1114,Route 64 (reverse),F
1322,,1310,1235,1214,Route 64 (reverse),F
1422,,1410,1335,1314,Route 64 (reverse),F
1522,,1510,1435,1414,Route 64 (reverse),F
1622,,1610,1535,1514,Route 64 (reverse),F
1722,,1710,1635,1614,Route 64 (reverse),F
1822,,1810,1735,1714,Route 64 (reverse),F
1922,,1910,1835,1814,Route 64 (reverse),F
2022,,2010,1933,1913,Route 64 (reverse),F
2121,,2110,2033,2013,Route 64 (reverse),F
2221,,2210,2133,2113,Route 64 (reverse),F
